longitude,latitude,elevation
153.0275000003117,-27.460000000066795,39
153.02833333364504,-27.460000000066795,40
153.02166666697826,-27.460833333400142,50
153.02250000031162,-27.460833333400142,45
153.02333333364496,-27.460833333400142,45
153.02416666697832,-27.460833333400142,43
153.02500000031165,-27.460833333400142,34
153.025833333645,-27.460833333400142,38
153.02666666697834,-27.460833333400142,43
153.0275000003117,-27.460833333400142,46
153.02833333364504,-27.460833333400142,43
153.01583333364485,-27.46166666673349,27
153.01666666697818,-27.46166666673349,26
153.01750000031154,-27.46166666673349,29
153.01833333364488,-27.46166666673349,39
153.01916666697824,-27.46166666673349,44
153.02000000031157,-27.46166666673349,47
153.02083333364493,-27.46166666673349,55
153.02166666697826,-27.46166666673349,56
153.02250000031162,-27.46166666673349,51
153.02333333364496,-27.46166666673349,49
153.02416666697832,-27.46166666673349,48
153.02500000031165,-27.46166666673349,42
153.025833333645,-27.46166666673349,42
153.02666666697834,-27.46166666673349,45
153.0275000003117,-27.46166666673349,43
153.02833333364504,-27.46166666673349,40
153.0100000003114,-27.462500000066836,6
153.01083333364477,-27.462500000066836,5
153.0116666669781,-27.462500000066836,10
153.01250000031146,-27.462500000066836,16
153.0133333336448,-27.462500000066836,27
153.01416666697816,-27.462500000066836,35
153.0150000003115,-27.462500000066836,29
153.01583333364485,-27.462500000066836,22
153.01666666697818,-27.462500000066836,20
153.01750000031154,-27.462500000066836,22
153.01833333364488,-27.462500000066836,28
153.01916666697824,-27.462500000066836,34
153.02000000031157,-27.462500000066836,35
153.02083333364493,-27.462500000066836,45
153.02166666697826,-27.462500000066836,54
153.02250000031162,-27.462500000066836,54
153.02333333364496,-27.462500000066836,52
153.02416666697832,-27.462500000066836,46
153.02500000031165,-27.462500000066836,44
153.025833333645,-27.462500000066836,50
153.02666666697834,-27.462500000066836,46
153.0275000003117,-27.462500000066836,38
153.02833333364504,-27.462500000066836,33
153.00916666697807,-27.463333333400183,13
153.0100000003114,-27.463333333400183,10
153.01083333364477,-27.463333333400183,9
153.0116666669781,-27.463333333400183,15
153.01250000031146,-27.463333333400183,18
153.0133333336448,-27.463333333400183,26
153.01416666697816,-27.463333333400183,33
153.0150000003115,-27.463333333400183,27
153.01583333364485,-27.463333333400183,21
153.01666666697818,-27.463333333400183,17
153.01750000031154,-27.463333333400183,21
153.01833333364488,-27.463333333400183,22
153.01916666697824,-27.463333333400183,24
153.02000000031157,-27.463333333400183,33
153.02083333364493,-27.463333333400183,45
153.02166666697826,-27.463333333400183,47
153.02250000031162,-27.463333333400183,46
153.02333333364496,-27.463333333400183,43
153.02416666697832,-27.463333333400183,39
153.02500000031165,-27.463333333400183,43
153.025833333645,-27.463333333400183,43
153.02666666697834,-27.463333333400183,48
153.0275000003117,-27.463333333400183,35
153.02833333364504,-27.463333333400183,29
153.00916666697807,-27.46416666673353,10
153.0100000003114,-27.46416666673353,11
153.01083333364477,-27.46416666673353,12
153.0116666669781,-27.46416666673353,19
153.01250000031146,-27.46416666673353,25
153.0133333336448,-27.46416666673353,30
153.01416666697816,-27.46416666673353,33
153.0150000003115,-27.46416666673353,29
153.01583333364485,-27.46416666673353,19
