longitude,latitude,elevation
<<<<<<< HEAD
153.0366666669785,-27.445000000066553,12
153.03750000031184,-27.445000000066553,12
153.0383333336452,-27.445000000066553,13
153.03916666697853,-27.445000000066553,14
153.0400000003119,-27.445000000066553,17
153.04083333364522,-27.445000000066553,16
153.03166666697842,-27.4458333333999,2
153.03250000031176,-27.4458333333999,5
153.03333333364512,-27.4458333333999,4
153.03416666697845,-27.4458333333999,8
153.0350000003118,-27.4458333333999,16
153.03583333364514,-27.4458333333999,18
153.0366666669785,-27.4458333333999,17
153.03750000031184,-27.4458333333999,12
153.0383333336452,-27.4458333333999,16
153.03916666697853,-27.4458333333999,24
153.0400000003119,-27.4458333333999,31
153.04083333364522,-27.4458333333999,26
153.02583333364498,-27.446666666733247,16
153.02666666697834,-27.446666666733247,19
153.02750000031168,-27.446666666733247,25
153.02833333364504,-27.446666666733247,23
153.02916666697837,-27.446666666733247,11
153.03000000031173,-27.446666666733247,9
153.03083333364506,-27.446666666733247,6
153.03166666697842,-27.446666666733247,5
153.03250000031176,-27.446666666733247,7
153.03333333364512,-27.446666666733247,7
153.03416666697845,-27.446666666733247,12
153.0350000003118,-27.446666666733247,18
153.03583333364514,-27.446666666733247,20
153.0366666669785,-27.446666666733247,21
153.03750000031184,-27.446666666733247,17
153.0383333336452,-27.446666666733247,22
153.03916666697853,-27.446666666733247,28
153.0400000003119,-27.446666666733247,36
153.04083333364522,-27.446666666733247,33
153.02000000031157,-27.447500000066594,23
153.0208333336449,-27.447500000066594,11
153.02166666697826,-27.447500000066594,11
153.0225000003116,-27.447500000066594,17
153.02333333364496,-27.447500000066594,30
153.0241666669783,-27.447500000066594,35
153.02500000031165,-27.447500000066594,31
153.02583333364498,-27.447500000066594,39
153.02666666697834,-27.447500000066594,41
153.02750000031168,-27.447500000066594,35
153.02833333364504,-27.447500000066594,32
153.02916666697837,-27.447500000066594,16
153.03000000031173,-27.447500000066594,13
153.03083333364506,-27.447500000066594,12
153.03166666697842,-27.447500000066594,11
153.03250000031176,-27.447500000066594,11
153.03333333364512,-27.447500000066594,16
153.03416666697845,-27.447500000066594,17
153.0350000003118,-27.447500000066594,19
153.03583333364514,-27.447500000066594,22
153.0366666669785,-27.447500000066594,21
153.03750000031184,-27.447500000066594,22
153.0383333336452,-27.447500000066594,23
153.03916666697853,-27.447500000066594,27
153.0400000003119,-27.447500000066594,36
153.04083333364522,-27.447500000066594,38
153.01416666697813,-27.44833333339994,47
153.0150000003115,-27.44833333339994,41
153.01583333364482,-27.44833333339994,33
153.01666666697818,-27.44833333339994,26
153.01750000031151,-27.44833333339994,28
153.01833333364488,-27.44833333339994,26
153.0191666669782,-27.44833333339994,25
153.02000000031157,-27.44833333339994,18
153.0208333336449,-27.44833333339994,12
153.02166666697826,-27.44833333339994,15
153.0225000003116,-27.44833333339994,24
153.02333333364496,-27.44833333339994,34
153.0241666669783,-27.44833333339994,33
153.02500000031165,-27.44833333339994,34
153.02583333364498,-27.44833333339994,47
153.02666666697834,-27.44833333339994,47
153.02750000031168,-27.44833333339994,40
153.02833333364504,-27.44833333339994,35
153.02916666697837,-27.44833333339994,19
153.03000000031173,-27.44833333339994,8
153.03083333364506,-27.44833333339994,9
153.03166666697842,-27.44833333339994,11
153.03250000031176,-27.44833333339994,13
153.03333333364512,-27.44833333339994,16
153.03416666697845,-27.44833333339994,19
153.0350000003118,-27.44833333339994,23
153.03583333364514,-27.44833333339994,25
153.0366666669785,-27.44833333339994,19
153.03750000031184,-27.44833333339994,18
153.0383333336452,-27.44833333339994,15
153.03916666697853,-27.44833333339994,15
153.0400000003119,-27.44833333339994,23
153.04083333364522,-27.44833333339994,26
